190043,Pelé,96,"CF,CAM,ST",ICON,Icons,Brazil,96,94,92,95,58,75,4,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,54,1
248449,Zidane,95,"CAM,CM",ICON,Icons,France,84,91,94,94,73,85,5,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,18,1
237063,Ronaldo,95,"ST,CF",ICON,Icons,Brazil,95,94,80,94,46,78,5,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,54,1
190043,Pelé,95,"CF,CAM,ST",ICON,Icons,Brazil,96,93,90,95,56,75,4,5,legend,#5e4e22,#fff,#73663b,gold12,112658,2118,54,1
231747,Mbappé,94,"LW,RM,LM,CAM",Paris SG,Ligue 1 Uber Eats,France,99,92,85,95,40,82,4,5,wctott,#fff,#000,#c4c8c9,gold138,73,16,18,1
158023,Messi,94,"CF,ST",Paris SG,Ligue 1 Uber Eats,Argentina,86,93,94,97,37,70,4,4,wctott,#fff,#000,#c4c8c9,gold138,73,16,52,2
158023,Messi,94,"RW,RM",Paris SG,Ligue 1 Uber Eats,Argentina,85,92,94,97,37,69,4,4,clfinal,#c6f553,#160558,#a8fcff,gold50,73,16,52,2
248449,Zidane,94,"CAM,CM,LM",ICON,Icons,France,82,90,93,92,72,83,5,5,legend,#5e4e22,#fff,#73663b,gold12,112658,2118,18,1
237063,Ronaldo,94,"ST,CF",ICON,Icons,Brazil,93,93,80,93,46,80,5,5,legend,#5e4e22,#fff,#73663b,gold12,112658,2118,54,1
231747,Mbappé,93,"ST,CF,LW",Paris SG,Ligue 1 Uber Eats,France,98,91,84,94,39,80,4,5,roadtowc,#f9d202,#932ecb,#20c3ba,gold139,73,16,18,1
247552,Garrincha,93,"RW,RM",ICON,Icons,Brazil,90,87,93,95,41,68,4,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,54,1
188545,Lewandowski,93,"ST,CF",FC Barcelona,LaLiga Santander,Poland,79,93,82,88,47,85,4,4,onestowatch,#c6f553,#160558,#c6f553,gold21,241,53,37,2
203376,van Dijk,92,CB,Liverpool,Premier League,Netherlands,83,61,73,74,92,88,3,2,wcstories,#000,#bfbfbf,#000,gold145,9,13,34,2
208722,Mané,92,"LM,CF,LW",FC Bayern München,Bundesliga,Senegal,93,87,85,91,47,80,4,4,roadtowc,#f9d202,#932ecb,#20c3ba,gold139,21,19,136,2
232411,Nkunku,92,"CF,CAM,ST",RB Leipzig,Bundesliga,France,94,87,90,94,74,76,3,5,silverstars,#27d5b5,#971b3b,#fff,gold130,112172,19,18,0
218667,Bernardo Silva,92,"CAM,CM",Manchester City,Premier League,Portugal,84,83,89,96,67,75,4,4,silverstars,#27d5b5,#971b3b,#fff,gold130,10,13,38,0
238436,Matthäus,92,"CDM,CB,CM",ICON,Icons,Germany,88,87,88,80,90,83,4,3,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,21,1
243079,Baggio,92,"CAM,CF",ICON,Icons,Italy,87,83,90,91,39,61,4,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,27,1
260816,Cafu,92,"RB,RWB",ICON,Icons,Brazil,91,58,85,88,89,85,4,4,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,54,1
190049,Eusébio,92,"CF,ST",ICON,Icons,Portugal,93,94,88,92,41,77,5,4,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,38,1
242521,Cruyff,92,"CF,ST",ICON,Icons,Netherlands,91,90,89,94,41,73,5,5,worldcup-icon,#971b3b,#fff,#73663b,gold129,112658,2118,34,1
209331,Salah,92,"ST,CF,LW",Liverpool,Premier League,Egypt,92,91,85,92,48,78,3,4,shapeshifters,#f61851,#69cced,#f6ec11,gold97,9,13,111,2
