270437,,96,CAM|CF|ST,ICON,Icons,Brazil,96,94,92,95,58,75,4,4,129,#574b15,#f9f9f9,#9d8957,270437,112658,2118,54,1,1,0,270437
270425,,95,CM|CAM,ICON,Icons,France,84,91,94,94,73,85,5,4,129,#574b15,#f9f9f9,#9d8957,270425,112658,2118,18,1,1,0,270425
237068,Pele,95,CAM|CF|ST,ICON,Icons,Brazil,96,93,90,95,56,75,4,4,12,#50442b,#f9f9f9,#9d8957,237068,112658,2118,54,1,0,0,237068
270422,,95,CF|ST,ICON,Icons,Brazil,95,94,80,94,46,78,5,4,129,#574b15,#f9f9f9,#9d8957,270422,112658,2118,54,1,1,0,270422
248450,Zinedine Zidane,94,CM|LM|CAM,ICON,Icons,France,82,90,93,92,72,83,5,4,12,#50442b,#f9f9f9,#9d8957,248450,112658,2118,18,1,0,0,248450
158023,Lionel Messi,94,CF|ST,Paris SG,Ligue 1 Uber Eats,Argentina,86,93,94,97,37,70,4,3,138,#ffffff,#277b83,#00d3ba,158023,73,16,52,1,0,0,117598535
231747,Kylian Mbappe,94,RM|LM|CAM|LW,Paris SG,Ligue 1 Uber Eats,France,99,92,85,95,40,82,4,4,138,#ffffff,#277b83,#00d3ba,231747,73,16,18,1,0,0,134449475
237064,Ronaldo,94,CF|ST,ICON,Icons,Brazil,93,93,80,93,46,80,5,4,12,#50442b,#f9f9f9,#9d8957,237064,112658,2118,54,1,0,0,237064
231747,Kylian Mbappe,93,CF|ST|LW,Paris SG,Ligue 1 Uber Eats,France,98,91,84,94,39,80,4,4,139,#00cfb7,#550065,#ffbf00,231747,73,16,18,1,0,0,100895043
270448,,93,RM|RW,ICON,Icons,Brazil,90,87,93,95,41,68,4,4,129,#574b15,#f9f9f9,#9d8957,270448,112658,2118,54,1,1,0,270448
270443,,92,CB|CDM|CM,ICON,Icons,Germany,88,87,88,80,90,83,4,2,129,#574b15,#f9f9f9,#9d8957,270443,112658,2118,21,1,1,0,270443
256014,Ferenc Puskas,92,CF|ST,ICON,Icons,Hungary,89,95,90,91,47,77,3,3,12,#50442b,#f9f9f9,#9d8957,256014,112658,2118,23,1,0,0,256014
270447,,92,CF|ST,ICON,Icons,Portugal,93,94,88,92,41,77,5,3,129,#574b15,#f9f9f9,#9d8957,270447,112658,2118,38,1,1,0,270447
270420,,92,RWB|RB,ICON,Icons,Brazil,91,58,85,88,89,85,4,3,129,#574b15,#f9f9f9,#9d8957,270420,112658,2118,54,1,1,0,270420
